,Dzielnica,Cena,Ulica,Powierzchnia
143,Wzgórza Krzesławickie,887 332,Morcinka 5A,"95,4"
144,Wzgórza Krzesławickie,443 816,Morcinka,"38,3"
145,Wzgórza Krzesławickie,597 908,Morcinka,"61,6"
146,Mistrzejowice,940 236,Piasta Kołodzieja,"92,2"
147,Mistrzejowice,940 236,Piasta Kołodzieja,"92,2"
148,Mistrzejowice,941 562,Piasta Kołodzieja,"92,3"
149,Mistrzejowice,946 356,Piasta Kołodzieja,"92,8"
150,Mistrzejowice,714 000,Popielidów,"70,0"
151,Mistrzejowice,714 000,Popielidów,"70,0"
152,Mistrzejowice,410 457,Piasta Kołodzieja,"30,4"
153,Mistrzejowice,886 968,Piasta Kołodzieja,"83,0"
154,Czyżyny,746 993,Centralna,"64,1"
155,Czyżyny,875 266,Centralna,"78,5"
156,Czyżyny,774 750,Centralna,"62,0"
157,Czyżyny,1 194 930,Centralna,"108,6"
158,Czyżyny,899 000,Sołtysowska,"78,7"
159,Czyżyny,899 000,Sołtysowska,"78,7"
160,Czyżyny,472 048,Centralna,"38,1"
161,Czyżyny,969 942,Centralna,"87,4"
162,Mistrzejowice,625 952,Powstańców,"50,5"
163,Mistrzejowice,844 026,Powstańców,"69,1"
164,Czyżyny,499 815,Woźniców,"34,5"
165,Czyżyny,936 390,Woźniców,"71,7"
166,Wzgórza Krzesławickie,812 000,Os. Na Wzgórzach 15D-E,"70,0"
167,Wzgórza Krzesławickie,1 164 968,Os. Na Wzgórzach 15D-E,"82,0"
168,Czyżyny,1 018 184,Sołtysowska 23,"78,6"
169,Czyżyny,1 018 184,Sołtysowska 23,"78,6"
170,Nowa Huta,600 000,Wojciechowskiego,"47,4"
171,Nowa Huta,680 000,Wojciechowskiego,"53,3"
172,Czyżyny,532 295,Dolnomłyńska,"36,7"
173,Czyżyny,1 401 840,Dolnomłyńska,"103,8"
174,Czyżyny,697 050,Dolnomłyńska,"46,5"
175,Czyżyny,995 256,Dolnomłyńska,"72,1"
176,Bieńczyce,579 426,Kocmyrzowska,"39,9"
177,Bieńczyce,2 396 622,Kocmyrzowska,"146,6"
178,Czyżyny,1 025 088, Nowohucka Czyżyny 31-580,"67,4"
179,Czyżyny,2 129 820, Nowohucka Czyżyny 31-580,"129,1"
180,Czyżyny,1 095 686,Gałczyńskiego,"67,2"
181,Czyżyny,1 571 024,Gałczyńskiego,"94,9"
182,Czyżyny,1 870 704,Lema,"94,5"
183,Czyżyny,2 211 066,Lema,"111,7"
184,Bieżanów-Prokocim,483 364,Mała Góra,"39,6"
185,Bieżanów-Prokocim,895 000,Mała Góra,"88,0"
186,Podgórze Duchackie,407 078,Bochenka,"27,5"
187,Podgórze Duchackie,980 747,Bochenka,"93,8"
188,Bieżanów-Prokocim,438 776,Bieżanowska 98B,"34,0"
189,Bieżanów-Prokocim,888 554,Bieżanowska 98B,"70,0"
190,Podgórze,455 850,Przewóz,"30,4"
191,Podgórze,1 004 770,Przewóz,"77,6"
192,Podgórze Duchackie,342 827,Podedworze 15C 30-686,"26,2"
193,Podgórze Duchackie,1 115 380,Podedworze 15C 30-686,"90,0"
194,Podgórze,509 916,Saska,"38,6"
195,Podgórze,553 520,Saska,"40,7"
196,Dębniki,373 466,Piltza,"25,6"
197,Dębniki,977 417,Piltza,"73,5"
198,Dębniki,527 327,Kobierzyńska 145,"33,0"
199,Dębniki,1 069 052,Kobierzyńska 145,"79,9"
200,Podgórze,560 000,Klimeckiego,"26,5"
201,Podgórze,1 440 000,Nowohucka 31-564,"67,1"
202,Swoszowice,607 560,Ważewskiego,"73,2"
203,Swoszowice,818 805,Ważewskiego,"96,3"
204,Dębniki,599 962,Krokusowa,"75,8"
205,Dębniki,689 955,Krokusowa,"92,1"
206,Podgórze,578 935,Półłanki,"68,0"
207,Podgórze,578 935,Półłanki,"68,0"
208,Podgórze,608 878,Półłanki,"59,4"
209,Podgórze,961 056,Półłanki,"105,0"
210,Dębniki,900 000,Zelwerowicza,"90,5"
211,Dębniki,900 000,Zelwerowicza,"90,5"
212,Podgórze Duchackie,518 100,Strumienna,"45,3"
213,Podgórze Duchackie,819 390,Strumienna,"88,2"
214,Podgórze Duchackie,862 164,Przyjaźni Polsko-Węgierskiej,"80,9"
215,Podgórze Duchackie,873 989,Przyjaźni Polsko-Węgierskiej,"81,5"
216,Bieżanów-Prokocim,745 254,Wielicka 179,"67,1"
217,Bieżanów-Prokocim,829 725,Wielicka 179,"74,8"
218,Podgórze,740 000,Myśliwska,"66,5"
219,Podgórze,740 000,Myśliwska,"66,5"
220,Podgórze Duchackie,845 127,Trybuny Ludów 27,"74,8"
221,Podgórze Duchackie,852 606,Trybuny Ludów 27,"74,8"
222,Podgórze Duchackie,677 875,Tuchowska,"54,2"
223,Podgórze Duchackie,927 990,Tuchowska,"88,4"
224,Dębniki,699 000,Tyniecka,"60,4"
225,Dębniki,699 000,Tyniecka,"60,6"
226,Podgórze Duchackie,698 422,Przyjaźni Polsko-Węgierskiej,"52,2"
227,Podgórze Duchackie,1 080 874,Przyjaźni Polsko-Węgierskiej,"98,5"
228,Dębniki,1 040 036,Sodowa,"83,4"
229,Dębniki,1 131 669,Sodowa,"94,5"
230,Bieżanów-Prokocim,428 022,Jerzmanowskiego 37,"35,6"
231,Bieżanów-Prokocim,849 524,Jerzmanowskiego 37,"68,5"
232,Podgórze Duchackie,941 259,Podedworze 30-686,"77,8"
233,Podgórze Duchackie,941 259,Podedworze 30-686,"77,8"
234,Podgórze,727 703,Lipska,"58,5"
235,Podgórze,827 960,Siemienowicza,"69,9"
236,Dębniki,717 167,Piltza,"55,6"
237,Dębniki,1 033 078,Piltza,"86,5"
238,Dębniki,840 000,Krokusowa 4,"65,8"
239,Dębniki,1 000 000,Krokusowa 4,"82,9"
240,Dębniki,723 948,Łany 29,"56,1"
241,Dębniki,1 177 680,Łany 29,"105,2"
242,Bieżanów-Prokocim,648 000,Facimiech,"49,4"
243,Bieżanów-Prokocim,754 000,Facimiech,"60,2"
244,Bieżanów-Prokocim,344 793,Domagały,"25,5"
245,Bieżanów-Prokocim,709 000,Domagały,"63,7"
246,Bieżanów-Prokocim,559 813,Andrusikiewicza 4,"42,3"
247,Bieżanów-Prokocim,900 360,Andrusikiewicza 4,"75,0"
248,Dębniki,704 875,Czerwone Maki,"56,4"
249,Dębniki,843 015,Czerwone Maki,"65,7"
250,Podgórze,840 019,Przewóz,"66,9"
251,Podgórze,931 393,Przewóz,"74,4"
252,Podgórze Duchackie,706 048,Turniejowa 59,"55,2"
253,Podgórze Duchackie,1 029 825,Turniejowa 59,"89,6"
254,Podgórze,775 372,Lipska,"61,7"
255,Podgórze,880 362,Lipska,"69,9"
256,Dębniki,580 000,Lubostroń 13,"44,6"
257,Dębniki,1 083 960,Lubostroń 13,"88,4"
258,Podgórze,560 254,Nowa Myśliwska,"41,8"
259,Podgórze,831 438,Nowa Myśliwska,"68,0"
260,Łagiewniki - Borek Fałęcki,674 177,Turowicza,"50,7"
261,Łagiewniki - Borek Fałęcki,921 310,Turowicza,"70,9"
262,Podgórze,560 995,Myśliwska,"41,2"
263,Podgórze,1 033 962,Myśliwska,"77,5"
264,Dębniki,671 895,Obrońców Helu,"49,8"
265,Dębniki,902 352,Obrońców Helu,"68,4"
266,Łagiewniki - Borek Fałęcki,612 030,Obozowa,"44,4"
267,Łagiewniki - Borek Fałęcki,1 586 571,Obozowa,"123,0"
268,Łagiewniki - Borek Fałęcki,819 000,Totus Tuus,"63,0"
269,Łagiewniki - Borek Fałęcki,1 302 000,Totus Tuus,"93,0"
270,Dębniki,913 242,Zalesie 27c 30-384,"66,7"
271,Bieżanów-Prokocim,562 848,Republiki Korczakowskiej 21,"39,4"
272,Bieżanów-Prokocim,2 895 575,Republiki Korczakowskiej 21,"219,5"
273,Podgórze Duchackie,700 671,Malborska,"51,7"
274,Podgórze Duchackie,1 357 993,Białoruska,"98,1"
275,Podgórze,747 000,Kiełkowskiego,"49,7"
276,Podgórze,1 150 000,Kiełkowskiego,"88,8"
277,Podgórze,816 215,Kiełkowskiego,"57,7"
278,Podgórze,816 215,Kiełkowskiego,"57,7"
279,Bieżanów-Prokocim,361 000,Domagały,"25,4"
280,Bieżanów-Prokocim,361 000,Domagały,"25,4"
281,Łagiewniki - Borek Fałęcki,855 000,Totus Tuus,"57,0"
282,Łagiewniki - Borek Fałęcki,1 148 000,Totus Tuus,"82,0"
283,Podgórze,696 844,Jerozolimska,"47,3"
284,Podgórze,1 018 368,Jerozolimska,"70,2"
285,Podgórze,698 640,Rydlówka 30-363,"50,0"
286,Podgórze,1 158 529,Rydlówka 30-363,"82,6"
287,Dębniki,592 848,Kobierzyńska,"43,0"
288,Dębniki,1 550 648,Kobierzyńska,"74,1"
289,Dębniki,470 940,Pychowicka,"28,2"
290,Dębniki,1 554 370,Pychowicka,"87,7"
291,Podgórze Duchackie,649 000,Sławka,"36,6"
