,Dzielnica,Cena,Ulica,Powierzchnia,Cena_za_m2,lat,lon
105,Zwierzyniec,2520385,Podłącze,146.7,17180.54,50.0678151,19.8780188
106,Bronowice,724636,Na Błonie,42.1,17212.26,50.080968,19.8824902
107,Bronowice,1964600,Na Błonie,103.4,19000.0,50.080968,19.8824902
108,Zwierzyniec,799859,Borowego,44.8,17854.0,50.0635904,19.8883922
109,Zwierzyniec,2469810,Borowego,117.6,21001.79,50.0635904,19.8883922
110,Zwierzyniec,899000,Emaus,46.3,19416.85,50.0608317,19.89788
111,Zwierzyniec,2199000,Emaus,105.6,20823.86,50.0608317,19.89788
112,Krowodrza,1560437,Zbożowa,85.4,18272.1,50.0786614,19.9369787
113,Krowodrza,1695984,Zbożowa,88.4,19185.34,50.0786614,19.9369787
114,Krowodrza,614848,Cieszyńska,29.6,20771.89,50.0751113,19.9316778
115,Krowodrza,2034330,Cieszyńska,94.6,21504.55,50.0751113,19.9316778
116,Zwierzyniec,1426140,Tadeusza Kościuszki,75.1,18989.88,50.0551063,19.9271763
117,Zwierzyniec,1426140,Tadeusza Kościuszki,75.1,18989.88,50.0551063,19.9271763
118,Krowodrza,676284,Cieszyńska,34.4,19659.42,50.0751113,19.9316778
119,Krowodrza,1137402,Cieszyńska,60.2,18893.72,50.0751113,19.9316778
120,Bronowice,912982,Juliusza Lea,50.2,18186.89,50.0724499,19.8964949
121,Bronowice,2387710,Zarzecze,116.8,20442.72,50.075709,19.888982
122,Zwierzyniec,947115,Tadeusza Kościuszki 47,48.6,19487.96,50.053181,19.9203885
123,Zwierzyniec,2161395,Tadeusza Kościuszki 47,100.8,21442.41,50.053181,19.9203885
124,Zwierzyniec,2588670,Tadeusza Kościuszki 60,123.3,20994.89,50.05273195,19.920080414996505
125,Zwierzyniec,2588670,Tadeusza Kościuszki 60,123.3,20994.89,50.05273195,19.920080414996505
126,Bronowice,1470000,Złoty Róg 54,58.0,25344.83,50.08188375,19.8926530546561
127,Bronowice,3170000,Złoty Róg 54,147.0,21564.63,50.08188375,19.8926530546561
128,Zwierzyniec,699000,Tadeusza Kościuszki,30.1,23222.59,50.0551063,19.9271763
129,Zwierzyniec,1649000,Tadeusza Kościuszki,65.9,25022.76,50.0551063,19.9271763
130,Krowodrza,2229546,Kujawska 11A,89.4,24938.99,50.073084050000006,19.92366493374016
131,Krowodrza,2235750,Kujawska 11A,89.5,24980.45,50.073084050000006,19.92366493374016
132,Wzgórza Krzesławickie,360183,Morcinka,33.8,10656.3,50.1041824,20.0329276
133,Wzgórza Krzesławickie,961425,Morcinka,102.8,9352.38,50.1041824,20.0329276
134,Mistrzejowice,358560,Powstańców 84,26.6,13479.7,50.1069476,20.0078365
135,Mistrzejowice,882507,Powstańców 84,79.0,11170.97,50.1069476,20.0078365
136,Mistrzejowice,563165,Piasta Kołodzieja,34.6,16276.45,50.1053413,20.0122216
137,Mistrzejowice,1319186,Piasta Kołodzieja,108.1,12203.39,50.1053413,20.0122216
138,Wzgórza Krzesławickie,533046,Niebyła 31-763,73.0,7302.0,50.1007314,20.0605009
139,Wzgórza Krzesławickie,533046,Niebyła 31-763,73.0,7302.0,50.1007314,20.0605009
140,Wzgórza Krzesławickie,431776,Kantorowicka,47.6,9070.92,50.1107374,20.0509089
141,Wzgórza Krzesławickie,562680,Kantorowicka,62.5,9002.88,50.1107374,20.0509089
142,Wzgórza Krzesławickie,478616,Morcinka 5A,48.6,9848.07,50.1082389,20.0414872
143,Wzgórza Krzesławickie,887332,Morcinka 5A,95.4,9301.17,50.1082389,20.0414872
144,Wzgórza Krzesławickie,443816,Morcinka,38.3,11587.89,50.1041824,20.0329276
145,Wzgórza Krzesławickie,597908,Morcinka,61.6,9706.3,50.1041824,20.0329276
146,Mistrzejowice,940236,Piasta Kołodzieja,92.2,10197.79,50.1053413,20.0122216
147,Mistrzejowice,940236,Piasta Kołodzieja,92.2,10197.79,50.1053413,20.0122216
148,Mistrzejowice,941562,Piasta Kołodzieja,92.3,10201.11,50.1053413,20.0122216
149,Mistrzejowice,946356,Piasta Kołodzieja,92.8,10197.8,50.1053413,20.0122216
150,Mistrzejowice,714000,Popielidów,70.0,10200.0,50.0981714,20.0137337
151,Mistrzejowice,714000,Popielidów,70.0,10200.0,50.0981714,20.0137337
152,Mistrzejowice,410457,Piasta Kołodzieja,30.4,13501.88,50.1053413,20.0122216
153,Mistrzejowice,886968,Piasta Kołodzieja,83.0,10686.36,50.1053413,20.0122216
154,Czyżyny,746993,Centralna,64.1,11653.56,50.0637938,20.0095005
155,Czyżyny,875266,Centralna,78.5,11149.89,50.0637938,20.0095005
156,Czyżyny,774750,Centralna,62.0,12495.97,50.0637938,20.0095005
157,Czyżyny,1194930,Centralna,108.6,11003.04,50.0637938,20.0095005
158,Czyżyny,899000,Sołtysowska,78.7,11423.13,50.0647375,20.0139567
159,Czyżyny,899000,Sołtysowska,78.7,11423.13,50.0647375,20.0139567
160,Czyżyny,472048,Centralna,38.1,12389.71,50.0637938,20.0095005
161,Czyżyny,969942,Centralna,87.4,11097.73,50.0637938,20.0095005
162,Mistrzejowice,625952,Powstańców,50.5,12395.09,50.1069476,20.0078365
163,Mistrzejowice,844026,Powstańców,69.1,12214.56,50.1069476,20.0078365
164,Czyżyny,499815,Woźniców,34.5,14487.39,50.0690216,20.0160117
165,Czyżyny,936390,Woźniców,71.7,13059.83,50.0690216,20.0160117
166,Wzgórza Krzesławickie,812000,Os. Na Wzgórzach 15D-E,70.0,11600.0,50.0954847,20.063112558756423
167,Wzgórza Krzesławickie,1164968,Os. Na Wzgórzach 15D-E,82.0,14206.93,50.0954847,20.063112558756423
168,Czyżyny,1018184,Sołtysowska 23,78.6,12953.99,50.0645541,20.01475994929261
169,Czyżyny,1018184,Sołtysowska 23,78.6,12953.99,50.0645541,20.01475994929261
170,Nowa Huta,600000,Wojciechowskiego,47.4,12658.23,50.0784304,20.044866
171,Nowa Huta,680000,Wojciechowskiego,53.3,12757.97,50.0784304,20.044866
172,Czyżyny,532295,Dolnomłyńska,36.7,14503.95,50.0726872,20.0081348
173,Czyżyny,1401840,Dolnomłyńska,103.8,13505.2,50.0726872,20.0081348
174,Czyżyny,697050,Dolnomłyńska,46.5,14990.32,50.0726872,20.0081348
175,Czyżyny,995256,Dolnomłyńska,72.1,13803.83,50.0726872,20.0081348
176,Bieńczyce,579426,Kocmyrzowska,39.9,14521.95,50.0907548,20.0575082
177,Bieńczyce,2396622,Kocmyrzowska,146.6,16348.04,50.0907548,20.0575082
178,Czyżyny,1025088, Nowohucka Czyżyny 31-580,67.4,15209.02,50.063401,20.0036857
179,Czyżyny,2129820, Nowohucka Czyżyny 31-580,129.1,16497.44,50.063401,20.0036857
180,Czyżyny,1095686,Gałczyńskiego,67.2,16304.85,50.0701709,20.0121491
181,Czyżyny,1571024,Gałczyńskiego,94.9,16554.52,50.0701709,20.0121491
182,Czyżyny,2211066,Lema,111.7,19794.68,50.06819475,19.99729633976735
183,Bieżanów-Prokocim,483364,Mała Góra,39.6,12206.16,50.0112233,20.0238123
184,Bieżanów-Prokocim,895000,Mała Góra,88.0,10170.45,50.0112233,20.0238123
185,Podgórze Duchackie,407078,Bochenka,27.5,14802.84,50.0130894,19.977710891141733
186,Podgórze Duchackie,980747,Bochenka,93.8,10455.72,50.0130894,19.977710891141733
187,Bieżanów-Prokocim,438776,Bieżanowska 98B,34.0,12905.18,50.0227041,20.0035957
188,Bieżanów-Prokocim,888554,Bieżanowska 98B,70.0,12693.63,50.0227041,20.0035957
189,Podgórze,455850,Przewóz,30.4,14995.07,50.0417419,20.0621804
190,Podgórze,1004770,Przewóz,77.6,12948.07,50.0417419,20.0621804
191,Podgórze Duchackie,342827,Podedworze 15C 30-686,26.2,13085.0,50.010324,19.9798117
192,Podgórze Duchackie,1115380,Podedworze 15C 30-686,90.0,12393.11,50.010324,19.9798117
193,Podgórze,509916,Saska,38.6,13210.26,50.045885,19.9835667
194,Podgórze,553520,Saska,40.7,13600.0,50.045885,19.9835667
195,Dębniki,373466,Piltza,25.6,14588.52,50.0089455,19.8894521
196,Dębniki,977417,Piltza,73.5,13298.19,50.0089455,19.8894521
197,Dębniki,527327,Kobierzyńska 145,33.0,15979.61,50.0206271,19.9078526
198,Dębniki,1069052,Kobierzyńska 145,79.9,13379.87,50.0206271,19.9078526
199,Podgórze,560000,Klimeckiego,26.5,21132.08,50.0474361,19.9702793
200,Podgórze,1440000,Nowohucka 31-564,67.1,21460.51,50.0536173,19.9925147
201,Swoszowice,607560,Ważewskiego,73.2,8300.0,49.9829405,19.9050947
202,Swoszowice,818805,Ważewskiego,96.3,8502.65,49.9829405,19.9050947
203,Dębniki,599962,Krokusowa,75.8,7915.07,50.0237228,19.9188264
204,Dębniki,689955,Krokusowa,92.1,7491.37,50.0237228,19.9188264
